Convert:	Verbose  : 7/7/2015 5:41:16 PM
ConvertFile:	Information  : Converting "C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\SOURCES"
Parse      :	Verbose  : File contents after preprocessing:
                        	TARGETNAME=Marauder
                        	TARGETPATH=OBJ
                        	TARGETTYPE=DRIVER
                        	SOURCES=main.c
                        	INCLUDES=.\inc
ParseIfApplies:	Verbose  : "TARGETNAME=Marauder" was parsed as a"MacroDefinition"
ParseIfApplies:	Verbose  : "TARGETPATH=OBJ" was parsed as a"MacroDefinition"
ParseIfApplies:	Verbose  : "TARGETTYPE=DRIVER" was parsed as a"MacroDefinition"
ParseIfApplies:	Verbose  : "SOURCES=main.c" was parsed as a"MacroDefinition"
ParseIfApplies:	Verbose  : "INCLUDES=.\inc" was parsed as a"MacroDefinition"
GenerateMsBuildFile:	Information  : Generated file "C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\SOURCES.props"
IsPropertyElementSetConditionally:	Verbose  : Property DriverType is set conditionally. Immediate condition ="'$(PlatformToolset)'=='WindowsApplicationForDrivers8.1'". Conditional parent element = Microsoft.Build.Construction.ProjectPropertyGroupElement
PostProcessing                   :	Verbose  : Extracted property "PlatformToolset" with a value of "WindowsKernelModeDriver8.1" from sources.
PostProcessing                   :	Verbose  : Extracted property "ConfigurationType" with a value of "Driver" from sources.
PostProcessing                   :	Verbose  : Extracted property "DriverType" with a value of "WDM" from sources.
PostProcessing                   :	Verbose  : Extracted property "TARGETNAME" with a value of "Marauder" from sources.
PostProcessing                   :	Verbose  : VcxProj file copied to "Marauder.vcxproj"
PostProcessing                   :	Verbose  : Added Project GUID: {746E8EAD-051F-4AC1-91E7-DA06E3F4D1BE}
PostProcessing                   :	Information  : Generated Project File Marauder.vcxproj
AddIDESupport                    :	Verbose  : Attempting to add propery page support for converted targets and macros in project C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj
CheckForWellKnownTargets         :	Verbose  : Attempting to find and convert nmake targets to well-known MSBuild items, as appropriate.
CheckForWellKnownTargetMacros:	Verbose  : Attempting to find and convert nmake target macros to well-known MSBuild items, as appropriate.
AddIDESupport                :	Verbose  : Finished adding propery page support for converted targets and macros, changes saved to C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj
AddOverrideConditionsToProperies:	Verbose  : Appended override conditions to properties in file 'C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\SOURCES.props' and its imports
GetDependencyInformation        :	Information  : Checking for external project dependencies
GetDependencyInformation        :	Verbose  : Processing the following list of primary projects
                                             	C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj
AddPrerequisitesToSolution      :	Verbose  : Finding prerequisites for C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj
GetPrerequisiteProjects         :	Verbose  : Scanning for prerequisites for project C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj
EvaluateProject                 :	Verbose  : $(O) set to 1f64632e-9d78-46fa-8f60-813c33a391a2
ExtractIncludesFromItem         :	Verbose  : Extracting include elements from all items of type ClCompile
ExtractIncludesFromItem         :	Verbose  : Extracting include elements from all items of type MessageCompile
ExtractIncludesFromItem         :	Verbose  : Didn't find any items of type MessageCompile in project C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj
ExtractIncludesFromItem         :	Verbose  : Extracting include elements from all items of type Midl
ExtractIncludesFromItem   :	Verbose  : Didn't find any items of type Midl in project C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj
ExtractIncludesFromItem   :	Verbose  : Extracting include elements from all items of type ResourceCompile
ExtractIncludesFromItem   :	Verbose  : Didn't find any items of type ResourceCompile in project C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj
ExtractIncludesFromItemMetadata:	Verbose  : Extracting include elements from metadata AdditionalDependencies on item type Link, using splitter ;
ExtractIncludesFromItemMetadata:	Verbose  : Extracting include elements from metadata AdditionalIncludeDirectories on item type ClCompile, using splitter ;
