Convert:	Verbose  : 7/28/2015 2:21:58 PM
ConvertFile:	Information  : Converting "C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\SOURCES"
Parse      :	Verbose  : File contents after preprocessing:
                        	TARGETNAME=MYFU
                        	TARGETTYPE=DRIVER
                        	SOURCES=main.c
                        	INCLUDES=.\inc
ParseIfApplies:	Verbose  : "TARGETNAME=MYFU" was parsed as a"MacroDefinition"
ParseIfApplies:	Verbose  : "TARGETTYPE=DRIVER" was parsed as a"MacroDefinition"
ParseIfApplies:	Verbose  : "SOURCES=main.c" was parsed as a"MacroDefinition"
ParseIfApplies:	Verbose  : "INCLUDES=.\inc" was parsed as a"MacroDefinition"
GenerateMsBuildFile:	Information  : Generated file "C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\SOURCES.props"
IsPropertyElementSetConditionally:	Verbose  : Property DriverType is set conditionally. Immediate condition ="'$(PlatformToolset)'=='WindowsApplicationForDrivers8.1'". Conditional parent element = Microsoft.Build.Construction.ProjectPropertyGroupElement
PostProcessing                   :	Verbose  : Extracted property "PlatformToolset" with a value of "WindowsKernelModeDriver8.1" from sources.
PostProcessing                   :	Verbose  : Extracted property "ConfigurationType" with a value of "Driver" from sources.
PostProcessing                   :	Verbose  : Extracted property "DriverType" with a value of "WDM" from sources.
PostProcessing                   :	Verbose  : Extracted property "TARGETNAME" with a value of "MYFU" from sources.
PostProcessing                   :	Verbose  : VcxProj file copied to "MYFU.vcxproj"
PostProcessing                   :	Verbose  : Added Project GUID: {41F5FD7A-CCE0-42EE-9B38-7104BEB5078F}
PostProcessing                   :	Information  : Generated Project File MYFU.vcxproj
AddIDESupport                    :	Verbose  : Attempting to add propery page support for converted targets and macros in project C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj
CheckForWellKnownTargets         :	Verbose  : Attempting to find and convert nmake targets to well-known MSBuild items, as appropriate.
CheckForWellKnownTargetMacros:	Verbose  : Attempting to find and convert nmake target macros to well-known MSBuild items, as appropriate.
AddIDESupport                :	Verbose  : Finished adding propery page support for converted targets and macros, changes saved to C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj
