Convert:	Verbose  : 7/27/2015 10:18:31 PM
ConvertFile:	Information  : Converting "C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\SOURCES"
Parse      :	Verbose  : File contents after preprocessing:
                        	TARGETNAME=NOFU
                        	TARGETTYPE=DRIVER
                        	SOURCES=main.c
                        	INCLUDES=.\inc
ParseIfApplies:	Verbose  : "TARGETNAME=NOFU" was parsed as a"MacroDefinition"
ParseIfApplies:	Verbose  : "TARGETTYPE=DRIVER" was parsed as a"MacroDefinition"
ParseIfApplies:	Verbose  : "SOURCES=main.c" was parsed as a"MacroDefinition"
ParseIfApplies:	Verbose  : "INCLUDES=.\inc" was parsed as a"MacroDefinition"
GenerateMsBuildFile:	Information  : Generated file "C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\SOURCES.props"
IsPropertyElementSetConditionally:	Verbose  : Property DriverType is set conditionally. Immediate condition ="'$(PlatformToolset)'=='WindowsApplicationForDrivers8.1'". Conditional parent element = Microsoft.Build.Construction.ProjectPropertyGroupElement
PostProcessing                   :	Verbose  : Extracted property "PlatformToolset" with a value of "WindowsKernelModeDriver8.1" from sources.
PostProcessing                   :	Verbose  : Extracted property "ConfigurationType" with a value of "Driver" from sources.
PostProcessing                   :	Verbose  : Extracted property "DriverType" with a value of "WDM" from sources.
PostProcessing                   :	Verbose  : Extracted property "TARGETNAME" with a value of "NOFU" from sources.
PostProcessing                   :	Verbose  : VcxProj file copied to "NOFU.vcxproj"
PostProcessing                   :	Verbose  : Added Project GUID: {9206015A-8FAE-4592-81B6-1596EC8B5121}
PostProcessing                   :	Information  : Generated Project File NOFU.vcxproj
AddIDESupport                    :	Verbose  : Attempting to add propery page support for converted targets and macros in project C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj
CheckForWellKnownTargets         :	Verbose  : Attempting to find and convert nmake targets to well-known MSBuild items, as appropriate.
CheckForWellKnownTargetMacros:	Verbose  : Attempting to find and convert nmake target macros to well-known MSBuild items, as appropriate.
AddIDESupport                :	Verbose  : Finished adding propery page support for converted targets and macros, changes saved to C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj
AddOverrideConditionsToProperies:	Verbose  : Appended override conditions to properties in file 'C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\SOURCES.props' and its imports
GetDependencyInformation        :	Information  : Checking for external project dependencies
GetDependencyInformation        :	Verbose  : Processing the following list of primary projects
                                             	C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj
AddPrerequisitesToSolution      :	Verbose  : Finding prerequisites for C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj
GetPrerequisiteProjects         :	Verbose  : Scanning for prerequisites for project C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj
EvaluateProject                 :	Verbose  : $(O) set to c3d26931-39a5-453d-8fa2-c6a76a7dfcd6
ExtractIncludesFromItem         :	Verbose  : Extracting include elements from all items of type ClCompile
ExtractIncludesFromItem         :	Verbose  : Extracting include elements from all items of type MessageCompile
ExtractIncludesFromItem         :	Verbose  : Didn't find any items of type MessageCompile in project C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj
ExtractIncludesFromItem         :	Verbose  : Extracting include elements from all items of type Midl
ExtractIncludesFromItem   :	Verbose  : Didn't find any items of type Midl in project C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj
ExtractIncludesFromItem   :	Verbose  : Extracting include elements from all items of type ResourceCompile
ExtractIncludesFromItem   :	Verbose  : Didn't find any items of type ResourceCompile in project C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj
ExtractIncludesFromItemMetadata:	Verbose  : Extracting include elements from metadata AdditionalDependencies on item type Link, using splitter ;
ExtractIncludesFromItemMetadata:	Verbose  : Extracting include elements from metadata AdditionalIncludeDirectories on item type ClCompile, using splitter ;
FindPreReqProjectsInReferences :	Verbose  : Ignoring following path since it references the project's own $(O) C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\c3d26931-39a5-453d-8fa2-c6a76a7dfcd6
GetPrerequisiteProjects        :	Verbose  : No prerequisite projects found for project C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj
AddPrerequisitesToSolution     :	Verbose  : Project C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj had no prerequisites, adding to solution
GetDependencyInformation       :	Information  : The primary project collection does not contain any projects that depend on others.
CreateSolutionIncludingDependencies:	Verbose  : Attempting to generate solution file C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.sln from projects list
